assemblage_id,group_label,method,analysis_tier,scenario,scenario_family,baseline_scenario,unit_type,iter
isopoda_pitfall,Isopoda,pitfall-trap,main,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
isopoda_pitfall,Isopoda,pitfall-trap,main,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
isopoda_pitfall,Isopoda,pitfall-trap,main,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
isopoda_pitfall,Isopoda,pitfall-trap,main,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
isopoda_pitfall,Isopoda,pitfall-trap,main,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
isopoda_pitfall,Isopoda,pitfall-trap,main,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
isopoda_pitfall,Isopoda,pitfall-trap,main,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
isopoda_pitfall,Isopoda,pitfall-trap,main,species_baseline,species_error,species_baseline,species_units,1
isopoda_pitfall,Isopoda,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
isopoda_pitfall,Isopoda,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
isopoda_pitfall,Isopoda,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,1
isopoda_pitfall,Isopoda,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
isopoda_pitfall,Isopoda,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
isopoda_pitfall,Isopoda,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,2
isopoda_pitfall,Isopoda,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
isopoda_pitfall,Isopoda,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,3
isopoda_pitfall,Isopoda,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,3
isopoda_pitfall,Isopoda,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,4
isopoda_pitfall,Isopoda,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,4
isopoda_pitfall,Isopoda,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,4
isopoda_pitfall,Isopoda,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,5
isopoda_pitfall,Isopoda,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,5
isopoda_pitfall,Isopoda,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,5
isopoda_pitfall,Isopoda,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,6
isopoda_pitfall,Isopoda,pitfall-trap,main,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,6
isopoda_pitfall,Isopoda,pitfall-trap,main,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,6
isopoda_pitfall,Isopoda,pitfall-trap,main,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,7
